Variable,Outcome,Mean,SD,Median,Best Dist,Params
hormone1,0,1.8237791286727458,1.5799101971584473,1.5,Lognormal,"s=0.61, scale=1.50"
hormone1,1,1.658125,0.8624575005480399,1.5,Lognormal,"s=0.50, scale=1.47"
hormone2,0,375.1479229989868,255.41087767224886,312.0,Lognormal,"s=0.55, scale=319.75"
hormone2,1,411.95625,270.8856972359027,365.5,Lognormal,"s=0.51, scale=358.33"
hormone3,0,8.990881458966568,11.582348163426722,5.6,Lognormal,"s=0.90, scale=5.83"
hormone3,1,9.910625,11.790373415091466,6.05,Lognormal,"s=0.90, scale=6.50"
hormone4,0,7.507700101317123,10.921876435273072,5.5,Lognormal,"s=0.69, scale=5.49"
hormone4,1,9.401250000000001,13.435599887597972,5.5,Lognormal,"s=0.76, scale=6.31"
hormone5,0,335.60763829787237,332.25504983231315,274.898,Lognormal,"s=0.72, scale=265.25"
hormone5,1,276.44851875,235.44463413794728,250.0,Lognormal,"s=0.65, scale=225.96"
hormone6,0,78.88975683890578,53.98862273036932,64.5,Lognormal,"s=0.68, scale=63.59"
hormone6,1,75.75437500000001,48.684122199377285,68.7,Lognormal,"s=0.68, scale=61.54"
hormone7,0,5.625227963525837,3.8988480412021196,5.1,Lognormal,"s=0.74, scale=4.47"
hormone7,1,5.65,3.9696490030665394,5.1,Lognormal,"s=0.80, scale=4.38"
hormone8,0,180.02036474164132,87.23032392719229,166.0,Lognormal,"s=0.50, scale=160.30"
hormone8,1,153.7625,70.96381020274043,142.5,Lognormal,"s=0.49, scale=137.61"
hormone10_generated,0,0.7617216558948637,8.298285635197853,0.427,Lognormal,"s=0.64, scale=0.42"
hormone10_generated,1,0.5082525045126352,0.36564639137397975,0.4555,Lognormal,"s=0.63, scale=0.42"
lipids1,0,0.9573049645390073,0.3872109027003947,0.91,Lognormal,"s=0.41, scale=0.88"
lipids1,1,0.9846250000000001,0.3704355544490836,0.98,Lognormal,"s=0.40, scale=0.91"
lipids2,0,4.461408308004053,0.9106923688721577,4.33,Lognormal,"s=0.20, scale=4.37"
lipids2,1,4.763562500000001,0.9622996217950615,4.63,Lognormal,"s=0.19, scale=4.67"
lipids3,0,1.1042451874366768,0.2767401382567286,1.06,Lognormal,"s=0.25, scale=1.07"
lipids3,1,1.115,0.26645589154373145,1.09,Lognormal,"s=0.24, scale=1.08"
lipids4,0,2.9279533941236067,0.8745130582807668,2.81,Lognormal,"s=0.30, scale=2.80"
lipids4,1,3.1979374999999997,0.9449668703220707,3.125,Lognormal,"s=0.29, scale=3.07"
lipids5,0,0.4281256332320162,0.15466128803849855,0.42,Lognormal,"s=0.37, scale=0.40"
lipids5,1,0.4421875,0.1575427340448123,0.42,Lognormal,"s=0.38, scale=0.41"
сarb_metabolism,0,4.895065856129686,0.8065695461510104,4.8,Lognormal,"s=0.16, scale=4.83"
сarb_metabolism,1,4.8600625,0.7076540185045658,4.8,Normal,"mu=4.86, sigma=0.71"
lipid_pero1,0,2.0682168186423504,0.8033658034790907,1.97,Lognormal,"s=0.41, scale=1.91"
lipid_pero1,1,2.1810625000000003,0.8356187003779796,1.995,Lognormal,"s=0.41, scale=2.02"
lipid_pero2,0,1.3839007092198583,0.5697332943075194,1.3,Lognormal,"s=0.44, scale=1.27"
lipid_pero2,1,1.4482875,0.6162351036637084,1.255,Lognormal,"s=0.45, scale=1.32"
lipid_pero3,0,0.6816109422492401,0.3738841933843975,0.59,Lognormal,"s=0.56, scale=0.59"
lipid_pero3,1,0.75525,0.4212484439998883,0.64,Lognormal,"s=0.61, scale=0.64"
lipid_pero4,0,1.4318844984802432,0.8026480608378502,1.32,Lognormal,"s=0.50, scale=1.27"
lipid_pero4,1,1.49525,0.706444681521713,1.395,Lognormal,"s=0.50, scale=1.33"
lipid_pero5,0,11.879169199594733,3.608672942288528,11.66,Lognormal,"s=0.32, scale=11.32"
lipid_pero5,1,11.7644375,3.2826595573793647,11.96,Normal,"mu=11.76, sigma=3.27"
antioxidant1,0,1.6210942249240121,0.1891563908512752,1.63,Normal,"mu=1.62, sigma=0.19"
antioxidant1,1,1.6220625000000002,0.16395695429482465,1.62,Normal,"mu=1.62, sigma=0.16"
antioxidant2,0,2.3464640324214794,0.4659387778441885,2.31,Lognormal,"s=0.20, scale=2.30"
antioxidant2,1,2.3005,0.44819385967353076,2.275,Lognormal,"s=0.19, scale=2.26"
antioxidant3,0,1.976301925025329,0.36930778132775877,1.96,Normal,"mu=1.98, sigma=0.37"
antioxidant3,1,1.9477499999999999,0.35652577596972934,1.895,Lognormal,"s=0.19, scale=1.92"
antioxidant4,0,7.732228976697062,3.1463981300770887,7.16,Lognormal,"s=0.39, scale=7.17"
antioxidant4,1,8.5661875,3.1165480161469814,8.32,Lognormal,"s=0.37, scale=8.01"
antioxidant5,0,0.6803546099290781,0.29075403106169584,0.6,Lognormal,"s=0.40, scale=0.63"
antioxidant5,1,0.763625,0.28748418058747216,0.71,Lognormal,"s=0.36, scale=0.72"
